Date,equity
2025-12-31,27674.629999999943
2026-01-05,27325.84799999994
2026-01-06,27007.122999999938
2026-01-09,27002.17299999994
2026-01-11,27200.238999999943
2026-01-12,27199.501999999942
2026-01-13,27129.915999999943
2026-01-14,26959.976999999948
2026-01-18,27234.67999999995
2026-01-20,27837.380999999943
2026-01-21,27802.65399999995
2026-01-22,28338.740999999958
2026-01-23,28602.70299999997
2026-01-25,29690.180999999953
2026-01-26,29804.72099999996
2026-01-27,29878.76999999994
2026-01-28,30955.136999999926
2026-01-30,31066.660999999905
2026-02-01,31835.388999999894
2026-02-02,33597.9359999998
2026-02-03,33515.07599999978
2026-02-04,32802.84099999977
2026-02-09,32952.5169999998
2026-02-11,33955.17799999979
2026-02-17,32990.78299999979
2026-02-20,32626.808999999816
2026-02-22,33082.5199999998
2026-02-23,33772.35699999977
2026-02-27,33848.92099999979
2026-03-01,34219.17999999977
2026-03-02,34221.01799999977
2026-03-12,33898.64699999978
2026-03-13,34589.298999999766
2026-03-15,34260.34699999976
2026-03-18,34827.25599999982
2026-03-19,37301.70399999971
2026-03-20,37111.90499999971
2026-03-22,37545.42899999971
2026-03-23,37882.34399999971
2026-03-24,37768.47599999972
2026-03-30,37902.02699999971
2026-03-31,37919.100999999755
2026-04-01,37752.10099999975
2026-04-07,37475.59699999975
2026-04-14,37824.25299999972
2026-04-17,38063.07399999972
2026-04-21,39094.81899999974
2026-04-23,38772.19299999974
2026-04-24,38833.13699999974
2026-04-28,38502.44899999973
2026-04-29,38423.363999999725
2026-05-04,38224.094999999725
2026-05-06,39212.03599999973
2026-05-07,39593.167999999765
2026-05-11,39457.59099999973
2026-05-14,39982.45799999973
2026-05-15,40905.76699999973
2026-05-17,41716.72199999973
2026-05-19,41235.77599999973
2026-05-27,41642.26299999973
2026-05-28,41427.178999999735
2026-05-29,41163.185999999725
