pos_id,side,open_time,open_price,lot,sl,tp,half_exit_time,half_exit_lot,half_exit_price,pnl_half_usd,final_close_time,final_close_price,final_close_lot,final_reason,pnl_final_usd,hold_min,total_pnl_usd,running_balance
81,BUY,2024.05.09 17:00:04,2329.38,0.39,2329.38,2349.38,2024.05.10 02:00:00,0.2,2346.5,342.4,2024.05.10 04:00:05,2350.27,0.19,TP,396.91,660.02,739.31,11677.37
82,BUY,2024.05.10 05:00:00,2350.39,0.12,2347.39,2370.39,,0.0,0.0,0.0,2024.05.10 05:00:14,2347.21,0.12,SL,-38.16,0.23,-38.16,11639.21
83,BUY,2024.05.10 06:00:00,2349.5,0.12,2346.5,2369.5,,0.0,0.0,0.0,2024.05.10 10:00:01,2369.9,0.12,TP,244.8,240.02,244.8,11884.01
84,BUY,2024.05.10 11:00:00,2366.75,0.12,2366.75,2386.75,2024.05.10 15:00:00,0.06,2372.18,32.58,2024.05.10 15:00:06,2366.75,0.06,SL,0.0,240.1,32.58,11916.59
85,BUY,2024.05.15 15:00:06,2378.46,0.12,2375.46,2398.46,,0.0,0.0,0.0,2024.05.15 15:00:06,2375.46,0.12,SL,-36.0,0.0,-36.0,11880.59
86,BUY,2024.05.15 18:00:04,2378.98,0.12,2378.98,2398.98,2024.05.15 22:00:00,0.06,2385.45,38.82,2024.05.16 15:00:08,2378.01,0.06,SL,-5.82,1260.07,33.0,11913.59
87,BUY,2024.05.17 16:00:02,2397.49,0.12,2394.49,2417.49,,0.0,0.0,0.0,2024.05.17 18:00:01,2417.5,0.12,TP,240.12,119.98,240.12,12153.71
88,BUY,2024.05.17 19:00:00,2407.82,0.12,2407.82,2427.82,2024.05.17 23:00:00,0.06,2416.45,51.78,2024.05.20 04:00:01,2429.31,0.06,TP,128.94,3420.02,180.72,12334.43
89,BUY,2024.05.20 05:00:00,2434.82,0.13,2431.82,2454.82,,0.0,0.0,0.0,2024.05.20 05:00:10,2431.63,0.13,SL,-41.47,0.17,-41.47,12292.96
90,BUY,2024.05.20 06:00:00,2434.05,0.12,2431.05,2454.05,,0.0,0.0,0.0,2024.05.20 06:00:08,2430.97,0.12,SL,-36.96,0.13,-36.96,12256.0
91,BUY,2024.05.20 09:00:00,2449.65,0.12,2446.65,2469.65,,0.0,0.0,0.0,2024.05.20 09:00:03,2446.64,0.12,SL,-36.12,0.05,-36.12,12219.88
92,BUY,2024.05.20 10:00:08,2441.06,0.12,2437.71,2460.71,,0.0,0.0,0.0,2024.05.20 11:00:14,2437.01,0.12,SL,-48.6,60.1,-48.6,12171.28
93,SELL,2024.05.22 21:00:06,2382.28,0.12,2382.28,2362.28,2024.05.23 07:00:00,0.06,2372.5,58.68,2024.05.23 08:00:13,2362.28,0.06,TP,120.0,660.12,178.68,12349.96
94,SELL,2024.05.23 09:00:00,2359.93,0.13,2362.93,2339.93,,0.0,0.0,0.0,2024.05.23 09:00:08,2362.93,0.13,SL,-39.0,0.13,-39.0,12310.96
95,SELL,2024.05.23 10:00:00,2364.31,0.13,2364.31,2344.31,2024.05.23 12:00:00,0.07,2360.57,26.18,2024.05.23 12:00:14,2364.34,0.06,SL,-0.18,120.23,26.0,12336.96
96,SELL,2024.05.23 16:00:05,2354.95,0.13,2357.96,2334.96,,0.0,0.0,0.0,2024.05.23 16:00:08,2357.96,0.13,SL,-39.13,0.05,-39.13,12297.83
97,SELL,2024.05.23 17:00:03,2354.95,0.12,2354.95,2334.95,2024.05.23 19:00:00,0.06,2346.17,52.68,2024.05.23 20:00:09,2334.95,0.06,TP,120.0,180.1,172.68,12470.51
