run,total_return_pct,sharpe,max_dd_pct,win_rate_pct,final_balance,actual_n_trades,broke
880,8.236,0.254,-40.658,16.098,10823.602824146985,1143,False
881,-100.053,-1.776,-100.052,13.624,-5.303142607150221,1123,True
882,-25.532,-0.054,-57.289,14.348,7446.813742782154,1143,False
883,97.5,0.952,-39.718,17.585,19750.002019247586,1143,False
884,-37.995,-0.192,-58.077,15.311,6200.451083114651,1143,False
885,-47.365,-0.388,-75.421,14.873,5263.491293088369,1143,False
886,4.782,0.22,-32.121,15.573,10478.222876640424,1143,False
887,-14.383,0.019,-58.896,15.398,8561.714215223075,1143,False
888,52.739,0.681,-32.08,16.623,15273.870120734893,1143,False
889,46.109,0.629,-31.383,16.623,14610.919534558165,1143,False
890,-24.454,-0.083,-44.131,15.398,7554.550505686771,1143,False
891,8.537,0.258,-29.881,16.01,10853.745781277368,1143,False
892,-46.712,-0.531,-67.297,14.786,5328.833445319356,1143,False
893,32.403,0.543,-37.744,16.36,13240.29010323709,1143,False
894,-69.692,-0.339,-74.377,14.523,3030.773287838986,1143,False
895,56.251,0.795,-21.212,17.235,15625.084188976347,1143,False
896,-73.467,-0.407,-84.727,13.561,2653.3056762904644,1143,False
897,-27.488,-0.121,-44.558,15.311,7251.17622747156,1143,False
898,32.259,0.481,-58.502,16.623,13225.89927209098,1143,False
899,-44.45,-0.236,-58.763,14.261,5555.002859142625,1143,False
900,-12.78,-0.012,-45.44,15.573,8721.958064741908,1143,False
901,-3.397,0.161,-60.57,15.486,9660.279149606304,1143,False
902,-100.156,-1.861,-100.154,13.255,-15.571195100606928,679,True
903,-88.465,-0.168,-92.478,14.173,1153.5477060367375,1143,False
904,-46.204,-0.286,-55.734,14.436,5379.590295713055,1143,False
905,-49.707,-0.203,-76.227,14.173,5029.348580927361,1143,False
906,18.028,0.361,-37.519,15.923,11802.762754155723,1143,False
907,28.609,0.489,-26.587,16.01,12860.877784776929,1143,False
908,-44.792,-0.188,-65.079,14.436,5520.776017497813,1143,False
909,-47.544,-0.304,-67.249,14.786,5245.599989501289,1143,False
910,19.056,0.369,-50.338,15.836,11905.637749781294,1143,False
911,27.846,0.445,-38.152,16.273,12784.645273840775,1143,False
912,-40.979,-0.236,-64.618,14.611,5902.133042869626,1143,False
913,-21.421,-0.117,-37.111,15.223,7857.92478390203,1143,False
914,-63.391,-0.297,-69.165,14.611,3660.85832720908,1143,False
915,-100.401,-1.976,-100.398,13.362,-40.093949256366614,696,True
916,11.219,0.291,-56.209,16.185,11121.920864391925,1143,False
917,-62.845,-0.278,-79.665,14.348,3715.50459142609,1143,False
918,-3.384,0.115,-38.859,15.748,9661.640444444476,1143,False
919,-21.213,-0.082,-50.221,15.223,7878.7331478565275,1143,False
920,-66.732,0.742,-98.63,14.523,3326.757679790031,1143,False
921,-41.963,-0.409,-51.597,15.048,5803.730873140861,1143,False
922,-66.071,-0.258,-86.341,13.911,3392.8777147856363,1143,False
923,21.542,0.394,-39.781,16.098,12154.171293088386,1143,False
924,-38.034,-0.001,-83.261,14.873,6196.561669291354,1143,False
925,-26.31,-0.104,-46.984,15.223,7369.025466316721,1143,False
926,27.646,0.431,-44.734,15.573,12764.614792650915,1143,False
927,-29.097,-0.049,-59.073,15.398,7090.348965879281,1143,False
928,-17.459,0.004,-52.114,14.961,8254.061581802278,1143,False
929,-47.927,0.042,-79.478,14.523,5207.289263342066,1143,False
930,-39.503,-0.284,-55.316,15.311,6049.736297462805,1143,False
931,-100.209,-0.565,-100.193,13.803,-20.8996920385016,1007,True
932,118.168,1.024,-58.433,17.848,21816.836524934417,1143,False
933,2.913,0.209,-45.858,15.048,10291.3365424322,1143,False
934,19.704,0.373,-37.99,16.273,11970.396489938785,1143,False
935,-22.895,-0.122,-44.436,15.398,7710.516000000003,1143,False
936,-74.416,-0.255,-82.915,14.261,2558.403979002587,1143,False
937,88.955,1.033,-20.329,17.148,18895.497802274724,1143,False
938,2.532,0.241,-57.85,15.661,10253.220286964093,1143,False
939,-12.778,0.081,-54.362,15.923,8722.152535433048,1143,False
940,37.471,0.498,-71.895,15.573,13747.08072440943,1143,False
941,62.18,0.695,-56.823,16.623,16218.025326334204,1143,False
942,-34.052,-0.008,-70.299,14.786,6594.837644794407,1143,False
943,-2.003,0.164,-34.418,15.398,9799.714635170589,1143,False
944,-70.394,-0.844,-74.002,14.436,2960.56936832897,1143,False
945,-48.833,-0.406,-50.985,14.261,5116.665921259837,1143,False
946,19.735,0.375,-29.27,16.01,11973.508020997377,1143,False
947,-100.406,-1.489,-100.362,13.26,-40.6190201224872,905,True
948,-8.07,0.134,-58.434,15.573,9192.966078740175,1143,False
949,-77.666,-0.221,-93.758,14.348,2233.443454068237,1143,False
950,-100.339,-1.374,-100.282,13.843,-33.89033420823034,1033,True
951,40.396,0.565,-30.422,16.273,14039.56464391953,1143,False
952,-60.369,-0.34,-75.315,14.086,3963.0657812773043,1143,False
953,21.896,0.394,-70.066,15.573,12189.564958880153,1143,False
954,-23.539,0.138,-71.166,15.223,7646.146201224837,1143,False
955,-49.047,-0.494,-65.924,14.173,5095.274145231853,1143,False
956,-100.485,0.409,-100.426,13.382,-48.45618897638451,1106,True
957,-31.129,-0.003,-74.428,14.611,6887.127093613319,1143,False
958,-53.771,-0.137,-88.092,14.436,4622.904836395432,1143,False
959,-70.042,0.034,-92.582,14.611,2995.768563429562,1143,False
960,-2.024,0.14,-34.869,15.311,9797.575457567835,1143,False
961,87.504,0.899,-28.418,16.36,18750.422666666665,1143,False
962,49.341,0.713,-22.212,16.798,14934.129823272098,1143,False
963,-70.663,0.024,-94.32,13.736,2933.732412948397,1143,False
964,-29.935,-0.152,-52.425,15.398,7006.5320979877715,1143,False
965,54.17,0.687,-32.077,16.71,15417.000549431323,1143,False
966,-93.297,-1.349,-94.938,13.998,670.2880384952005,1143,False
967,-59.761,-0.43,-67.915,14.523,4023.935107611538,1143,False
968,0.685,0.156,-38.261,15.661,10068.473130358725,1143,False
969,-62.223,-0.495,-66.08,13.911,3777.7352125984253,1143,False
970,28.14,0.468,-26.292,15.923,12814.010348206491,1143,False
971,-3.096,0.097,-37.518,15.573,9690.422106736658,1143,False
972,27.211,0.433,-45.907,15.836,12721.053357830286,1143,False
973,-12.44,0.041,-46.417,15.223,8755.990435695523,1143,False
974,77.203,0.786,-44.464,16.71,17720.311415573055,1143,False
975,-35.804,-0.259,-70.466,15.661,6419.619552055976,1143,False
976,-55.06,-0.424,-65.006,14.173,4493.970768153965,1143,False
977,-29.155,-0.265,-50.219,15.136,7084.5148451443765,1143,False
978,69.051,0.949,-27.158,17.41,16905.09027821521,1143,False
979,-46.439,-0.137,-74.751,14.523,5356.059342082211,1143,False
980,11.132,0.612,-95.529,15.923,11113.169683289589,1143,False
981,13.032,0.31,-39.047,16.448,11303.167548556426,1143,False
982,-19.696,0.292,-86.524,14.873,8030.420286964125,1143,False
983,24.253,0.406,-55.994,16.098,12425.263436570436,1143,False
984,-62.11,-0.666,-65.722,14.348,3789.0145126859234,1143,False
985,-40.695,-0.108,-66.861,14.611,5930.525763779502,1143,False
986,-67.874,-0.328,-79.011,14.086,3212.603384076984,1143,False
987,-40.634,-0.135,-62.159,14.698,5936.554355205617,1143,False
988,-6.017,0.077,-39.782,15.486,9398.327128608922,1143,False
989,-79.678,-0.689,-83.345,13.736,2032.1662887138946,1143,False
990,-42.709,-0.202,-51.412,14.786,5729.054127734047,1143,False
991,-76.785,-0.391,-89.188,14.261,2321.5386771653357,1143,False
992,35.266,0.501,-31.713,16.798,13526.550960629953,1143,False
993,-21.687,-0.097,-53.46,15.836,7831.282299212607,1143,False
994,-63.109,-0.35,-84.363,14.173,3689.05657742781,1143,False
995,-19.163,-0.019,-55.053,15.048,8083.705256342974,1143,False
996,5.922,0.247,-51.096,16.448,10592.182701662316,1143,False
997,-22.413,0.091,-59.316,15.136,7758.74473140861,1143,False
998,-28.984,-0.194,-46.551,15.223,7101.628265966767,1143,False
999,-0.352,0.161,-29.105,15.661,9964.820251968491,1143,False
1000,-54.912,-0.719,-62.732,15.048,4508.750540682432,1143,False
