pos_id,side,open_time,open_price,lot,sl,tp,half_exit_time,half_exit_lot,half_exit_price,pnl_half_usd,final_close_time,final_close_price,final_close_lot,final_reason,pnl_final_usd,hold_min,total_pnl_usd,running_balance
1270,BUY,2026.01.26 02:45:00,5050.82,0.26,5047.82,5070.82,,0.0,0.0,0.0,2026.01.26 02:48:24,5047.65,0.26,SL,-82.42,3.4,-82.42,18650.82
1271,BUY,2026.01.26 03:00:00,5041.9,0.26,5038.9,5061.9,,0.0,0.0,0.0,2026.01.26 03:01:10,5038.87,0.26,SL,-78.78,1.17,-78.78,18572.04
1272,BUY,2026.01.26 03:15:00,5058.0,0.26,5058.0,5078.0,2026.01.26 03:20:00,0.13,5062.49,58.37,2026.01.26 03:32:18,5078.21,0.13,TP,262.73,17.3,321.1,18893.14
1273,BUY,2026.01.26 03:45:00,5083.56,0.26,5080.56,5103.56,,0.0,0.0,0.0,2026.01.26 03:45:57,5080.39,0.26,SL,-82.42,0.95,-82.42,18810.72
1274,BUY,2026.01.26 04:00:00,5071.17,0.26,5071.17,5091.17,2026.01.26 04:02:00,0.13,5074.75,46.54,2026.01.26 04:03:12,5071.12,0.13,SL,-0.65,3.2,45.89,18856.61
1275,BUY,2026.01.27 22:03:25,5111.9,0.27,5111.9,5131.9,2026.01.27 22:07:00,0.14,5115.84,55.16,2026.01.27 22:10:48,5131.99,0.13,TP,261.17,7.38,316.33,19172.94
1276,BUY,2026.01.27 22:15:00,5141.87,0.27,5138.87,5161.87,,0.0,0.0,0.0,2026.01.27 22:15:15,5138.79,0.27,SL,-83.16,0.25,-83.16,19089.78
1277,BUY,2026.01.27 22:30:00,5141.75,0.27,5138.75,5161.75,,0.0,0.0,0.0,2026.01.27 22:32:32,5138.75,0.27,SL,-81.0,2.53,-81.0,19008.78
1278,BUY,2026.01.27 22:45:00,5142.51,0.27,5142.51,5162.51,2026.01.27 22:48:00,0.14,5154.2,163.66,2026.01.27 22:48:40,5162.69,0.13,TP,262.34,3.67,426.0,19434.78
1279,BUY,2026.01.27 23:00:00,5176.78,0.27,5173.78,5196.78,,0.0,0.0,0.0,2026.01.27 23:00:27,5173.55,0.27,SL,-87.21,0.45,-87.21,19347.57
1280,BUY,2026.01.27 23:15:00,5176.63,0.27,5173.63,5196.63,,0.0,0.0,0.0,2026.01.27 23:23:06,5173.57,0.27,SL,-82.62,8.1,-82.62,19264.95
1281,BUY,2026.01.27 23:30:00,5173.93,0.27,5173.93,5193.93,2026.01.27 23:41:00,0.14,5181.13,100.8,2026.01.28 01:12:31,5173.7,0.13,SL,-2.99,102.52,97.81,19362.76
1282,BUY,2026.01.28 03:06:42,5190.6,0.25,5190.6,5210.6,2026.01.28 03:10:00,0.13,5196.81,80.73,2026.01.28 03:10:37,5190.51,0.12,SL,-1.08,3.92,79.65,19442.41
1283,BUY,2026.01.28 03:15:00,5191.26,0.25,5188.26,5211.26,,0.0,0.0,0.0,2026.01.28 03:17:30,5188.19,0.25,SL,-76.75,2.5,-76.75,19365.66
1284,BUY,2026.01.28 03:30:00,5194.08,0.25,5191.08,5214.08,,0.0,0.0,0.0,2026.01.28 03:30:42,5191.07,0.25,SL,-75.25,0.7,-75.25,19290.41
1285,BUY,2026.01.28 03:45:00,5215.85,0.25,5215.85,5235.85,2026.01.28 03:49:00,0.13,5220.24,57.07,2026.01.28 03:55:08,5215.81,0.12,SL,-0.48,10.13,56.59,19347.0
1286,BUY,2026.01.28 04:00:00,5205.1,0.25,5205.1,5225.1,2026.01.28 04:10:00,0.13,5212.39,94.77,2026.01.28 04:11:01,5205.1,0.12,SL,0.0,11.02,94.77,19441.77
1287,BUY,2026.01.28 04:32:23,5225.04,0.25,5222.0,5245.0,,0.0,0.0,0.0,2026.01.28 04:34:05,5221.86,0.25,SL,-79.5,1.7,-79.5,19362.27
1288,BUY,2026.01.28 04:46:31,5225.02,0.25,5222.0,5245.0,,0.0,0.0,0.0,2026.01.28 04:47:33,5221.98,0.25,SL,-76.0,1.03,-76.0,19286.27
1289,BUY,2026.01.28 05:00:00,5231.96,0.25,5231.96,5251.96,2026.01.28 05:10:00,0.13,5244.89,168.09,2026.01.28 05:37:24,5231.9,0.12,SL,-0.72,37.4,167.37,19453.64
1290,BUY,2026.01.29 01:15:00,5475.2,0.19,5475.2,5495.2,2026.01.29 01:18:00,0.1,5484.36,91.6,2026.01.29 01:19:25,5495.28,0.09,TP,180.72,4.42,272.32,19725.96
1291,BUY,2026.01.29 01:30:00,5490.55,0.2,5490.55,5510.55,2026.01.29 01:32:00,0.1,5494.99,44.4,2026.01.29 01:32:36,5490.07,0.1,SL,-4.8,2.6,39.6,19765.56
1292,BUY,2026.01.29 01:45:00,5532.17,0.2,5529.17,5552.17,,0.0,0.0,0.0,2026.01.29 01:45:29,5528.76,0.2,SL,-68.2,0.48,-68.2,19697.36
1293,BUY,2026.01.29 02:00:00,5513.2,0.2,5510.2,5533.2,,0.0,0.0,0.0,2026.01.29 02:00:04,5509.65,0.2,SL,-71.0,0.07,-71.0,19626.36
1294,BUY,2026.01.29 02:15:00,5495.74,0.2,5492.74,5515.74,,0.0,0.0,0.0,2026.01.29 02:16:26,5492.72,0.2,SL,-60.4,1.43,-60.4,19565.96
1295,BUY,2026.01.29 02:30:00,5497.79,0.2,5494.79,5517.79,,0.0,0.0,0.0,2026.01.29 02:33:41,5517.8,0.2,TP,400.2,3.68,400.2,19966.16
1296,BUY,2026.01.29 02:45:00,5509.08,0.2,5506.08,5529.08,,0.0,0.0,0.0,2026.01.29 02:48:51,5505.93,0.2,SL,-63.0,3.85,-63.0,19903.16
1297,BUY,2026.01.29 03:00:00,5520.41,0.2,5517.41,5540.41,,0.0,0.0,0.0,2026.01.29 03:00:17,5517.15,0.2,SL,-65.2,0.28,-65.2,19837.96
1298,SELL,2026.01.30 17:01:26,4990.99,0.19,4995.73,4972.73,,0.0,0.0,0.0,2026.01.30 17:01:35,4995.96,0.19,SL,-94.43,0.15,-94.43,19743.53
1299,SELL,2026.01.30 18:24:47,4992.71,0.19,4995.73,4972.73,,0.0,0.0,0.0,2026.01.30 18:25:42,4995.81,0.19,SL,-58.9,0.92,-58.9,19684.63
1300,SELL,2026.01.30 18:34:05,4992.56,0.19,4995.73,4972.73,,0.0,0.0,0.0,2026.01.30 18:35:41,4971.49,0.19,TP,400.33,1.6,400.33,20084.96
1301,SELL,2026.01.30 18:48:02,4992.55,0.19,4995.73,4972.73,,0.0,0.0,0.0,2026.01.30 18:49:30,4972.6,0.19,TP,379.05,1.47,379.05,20464.01
1302,SELL,2026.01.30 19:00:00,4985.58,0.19,4985.58,4965.58,2026.01.30 19:03:00,0.1,4980.75,48.3,2026.01.30 19:06:04,4965.5,0.09,TP,180.72,6.07,229.02,20693.03
1303,SELL,2026.01.30 19:15:00,4915.14,0.2,4918.14,4895.14,,0.0,0.0,0.0,2026.01.30 19:15:19,4918.24,0.2,SL,-62.0,0.32,-62.0,20631.03
1304,SELL,2026.01.30 19:30:00,4926.18,0.19,4929.18,4906.18,,0.0,0.0,0.0,2026.01.30 19:31:07,4905.57,0.19,TP,391.59,1.12,391.59,21022.62
1305,SELL,2026.01.30 19:45:00,4860.23,0.2,4863.23,4840.23,,0.0,0.0,0.0,2026.01.30 19:45:01,4863.33,0.2,SL,-62.0,0.02,-62.0,20960.62
1306,SELL,2026.02.02 03:09:21,4680.67,0.09,4685.67,4662.67,,0.0,0.0,0.0,2026.02.02 03:09:32,4659.24,0.09,TP,192.87,0.18,192.87,21153.49
1307,SELL,2026.02.02 03:15:00,4643.22,0.09,4646.22,4623.22,,0.0,0.0,0.0,2026.02.02 03:15:01,4646.81,0.09,SL,-32.31,0.02,-32.31,21121.18
1308,SELL,2026.02.02 03:30:16,4682.39,0.09,4685.67,4662.67,,0.0,0.0,0.0,2026.02.02 03:30:19,4685.99,0.09,SL,-32.4,0.05,-32.4,21088.78
1309,SELL,2026.02.02 07:44:19,4583.87,0.09,4587.29,4564.29,,0.0,0.0,0.0,2026.02.02 07:45:53,4562.78,0.09,TP,189.81,1.57,189.81,21278.59
1310,SELL,2026.02.02 08:00:00,4549.03,0.1,4552.03,4529.03,,0.0,0.0,0.0,2026.02.02 08:00:01,4552.07,0.1,SL,-30.4,0.02,-30.4,21248.19
