pos_id,side,open_time,open_price,lot,sl,tp,half_exit_time,half_exit_lot,half_exit_price,pnl_half_usd,final_close_time,final_close_price,final_close_lot,final_reason,pnl_final_usd,hold_min,total_pnl_usd,running_balance
1335,SELL,2026.02.17 17:30:05,4858.73,2.8,4861.82,4838.82,,0.0,0.0,0.0,2026.02.17 17:31:41,4862.01,2.8,SL,-918.4,1.6,-918.4,42574.35
1336,SELL,2026.02.17 19:00:27,4858.71,2.73,4861.82,4838.82,,0.0,0.0,0.0,2026.02.17 19:00:33,4861.98,2.73,SL,-892.71,0.1,-892.71,41681.64
1337,BUY,2026.02.20 15:50:04,5042.83,0.8,5039.66,5062.66,,0.0,0.0,0.0,2026.02.20 16:05:20,5039.62,0.8,SL,-256.8,15.27,-256.8,41424.84
1338,BUY,2026.02.20 16:31:43,5049.34,0.8,5045.92,5068.92,,0.0,0.0,0.0,2026.02.20 16:37:26,5044.73,0.8,SL,-368.8,5.72,-368.8,41056.04
1339,BUY,2026.02.20 16:45:00,5054.9,0.79,5054.9,5074.9,2026.02.20 16:47:00,0.4,5058.58,147.2,2026.02.20 16:50:48,5054.77,0.39,SL,-5.07,5.8,142.13,41198.17
1340,BUY,2026.02.20 17:00:00,5055.41,0.79,5052.41,5075.41,,0.0,0.0,0.0,2026.02.20 17:00:31,5050.86,0.79,SL,-359.45,0.52,-359.45,40838.72
1341,BUY,2026.02.20 17:45:21,5048.92,0.78,5045.92,5068.92,,0.0,0.0,0.0,2026.02.20 17:50:40,5045.9,0.78,SL,-235.56,5.32,-235.56,40603.16
1342,BUY,2026.02.20 18:03:49,5049.0,0.78,5045.92,5068.92,,0.0,0.0,0.0,2026.02.20 18:04:32,5045.88,0.78,SL,-243.36,0.72,-243.36,40359.8
1343,BUY,2026.02.20 18:15:00,5055.45,0.77,5052.45,5075.45,,0.0,0.0,0.0,2026.02.20 18:15:56,5052.42,0.77,SL,-233.31,0.93,-233.31,40126.49
1344,BUY,2026.02.20 18:30:00,5053.78,0.77,5053.78,5073.78,2026.02.20 18:34:00,0.39,5065.86,471.12,2026.02.20 19:49:50,5073.8,0.38,TP,760.76,79.83,1231.88,41358.37
1345,BUY,2026.02.23 01:15:00,5147.06,0.79,5144.06,5167.06,,0.0,0.0,0.0,2026.02.23 01:15:12,5143.9,0.79,SL,-249.64,0.2,-249.64,41108.73
1346,BUY,2026.02.23 01:30:00,5146.48,0.79,5146.48,5166.48,2026.02.23 01:42:00,0.4,5152.8,252.8,2026.02.23 01:53:00,5166.5,0.39,TP,780.78,23.0,1033.58,42142.31
1347,BUY,2026.02.23 02:00:00,5165.11,0.81,5162.11,5185.11,,0.0,0.0,0.0,2026.02.23 02:00:17,5162.0,0.81,SL,-251.91,0.28,-251.91,41890.4
1348,BUY,2026.02.23 02:15:00,5139.43,0.8,5136.43,5159.43,,0.0,0.0,0.0,2026.02.23 02:15:05,5136.12,0.8,SL,-264.8,0.08,-264.8,41625.6
1349,BUY,2026.02.23 02:30:00,5154.06,0.8,5151.06,5174.06,,0.0,0.0,0.0,2026.02.23 02:32:55,5150.89,0.8,SL,-253.6,2.92,-253.6,41372.0
1350,BUY,2026.02.23 02:45:00,5140.78,0.79,5137.78,5160.78,,0.0,0.0,0.0,2026.02.23 02:45:15,5137.69,0.79,SL,-244.11,0.25,-244.11,41127.89
1351,BUY,2026.02.23 03:00:00,5145.35,0.79,5142.35,5165.35,,0.0,0.0,0.0,2026.02.23 03:00:07,5142.22,0.79,SL,-247.27,0.12,-247.27,40880.62
1352,BUY,2026.02.23 03:15:00,5148.09,0.79,5148.09,5168.09,2026.02.23 03:25:00,0.4,5156.24,326.0,2026.02.23 04:37:23,5168.22,0.39,TP,785.07,82.38,1111.07,41991.69
1353,BUY,2026.02.24 01:15:00,5244.73,0.64,5241.73,5264.73,,0.0,0.0,0.0,2026.02.24 01:23:27,5241.45,0.64,SL,-209.92,8.45,-209.92,41781.77
1354,BUY,2026.02.24 01:30:16,5237.69,0.64,5237.69,5257.69,2026.02.24 01:36:01,0.32,5240.91,103.04,2026.02.24 01:51:41,5237.54,0.32,SL,-4.8,21.42,98.24,41880.01
1355,BUY,2026.02.24 02:21:27,5237.95,0.64,5234.64,5257.64,,0.0,0.0,0.0,2026.02.24 02:22:28,5234.58,0.64,SL,-215.68,1.02,-215.68,41664.33
1356,BUY,2026.02.27 18:11:14,5250.38,0.8,5250.38,5270.38,2026.02.27 18:17:00,0.4,5256.07,227.6,2026.02.27 18:19:57,5250.24,0.4,SL,-5.6,8.72,222.0,41886.33
